gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	cluster
Car1	1.0261560082983925	1.186165896779332	0.581002140007429	0.5194856066941025	0.8938954617423539	1.3306036439626667	-0.4077753123666467	-0.9403978435924568	-1.2602136172008045	-0.9178511175608048	-1.6611303981570464	-0.3499404686064999	0
Rabggtb	1.2168484343026842	0.9378619142170972	0.7000631322638415	-0.2840019730634672	1.1304596332962014	1.24475408216461	-0.9530750850083484	-1.1267360458755282	-0.9387244371380744	0.2980396963536227	-1.6682979177096595	-0.5571914338030244	0
St6gal1	0.4481759954266541	0.7985547611765005	1.1003429818801969	0.3896594005417642	1.3712887435315255	0.7914552708575422	-1.7947542575484037	-0.6808498521174288	-0.9527789332126678	-1.4106302108665705	-0.625140592121872	0.5646766924527522	0
Sh2d2a	-0.2144981956508041	1.5516619425634035	0.4382341580626854	-0.5793247656861393	-0.3354837068074628	-0.3415300439001407	1.977752338752816	-1.0653936976899674	-0.4339679916869641	1.1333373574225112	-1.0653936976899674	-1.0653936976899674	0
Sfrp4	1.5920747479005248	0.4160445758522761	1.2271493753854958	0.1312993803757775	0.7115906417372574	1.4117165939264693	-0.7753767313066077	-0.9551452277543582	-1.0909295456716948	-0.5670316515594106	-1.1861151631670783	-0.9152769957186512	0
Cwf19l1	0.0876110024539152	1.4988670284345045	0.0301635227087365	0.4581315954106641	0.9196738332788976	1.1481245140773846	-0.2319909714064456	-0.2040708074881883	-0.0900814760018489	-0.211674944310012	-2.546882279157648	-0.8578710179999817	0
Clstn3	0.0517588922638293	1.4753918562648043	0.7800147448458156	0.8565931944203037	0.8720726616355796	1.0599539527496329	-0.6735175052658149	-0.6226590505590832	0.291096619569666	-1.4931464820619853	-1.1183050448765302	-1.4792538389862049	0
Ublcp1	0.3967414605432006	0.946511461619554	0.93911416808159	0.1889871555027769	1.0306704559750712	1.201275785234324	-0.0703438474624194	-0.5218197595825331	-0.7378015123927136	-0.2258364730769934	-2.495091851536035	-0.6524070429058192	0
Cs	-0.491004820122844	0.2511170484886227	0.4669961775084755	1.2614273538194332	2.000442527465081	0.5068463992457906	-0.4952487650970806	-0.1889318932000322	-0.4089483684359562	-0.7070201591078198	-2.163043878870663	-0.0326316216929844	0
Cpox	-0.920178633926022	1.0377523665813435	0.4947828229266479	0.90843119468811	1.326090528158785	0.6791066529140717	0.5310555005443102	-0.2150132098416226	-0.8424647103643005	-0.6981818537986751	-2.293701771269139	-0.0076788866134768	0
I730030J21Rik	1.5559344275872509	1.236972337046349	0.8660798779357158	0.4254873261689712	0.2927618096370582	1.1680533276708784	-0.3837655717639234	-0.9094619698669422	-0.9101650908620392	-0.8888039283585114	-1.044647812969332	-1.4084447322254796	0
Tnip3	-0.91976608335283	1.7223306518342003	1.0484156814272132	0.9127362597350296	0.6984200411905	1.3030071300763342	-1.0970081605894877	-0.6002455331404106	-0.5875675281049083	-1.0970081605894877	-0.6748778663921321	-0.7084364320940192	0
Ccnf	-0.9889694403550362	0.2475185041058198	0.54321452363776	1.002469978974833	1.30741581847793	1.0915487274405702	0.645363344327053	-0.3811538773257168	-0.0560763778173774	-2.195539521691213	-1.1715650832320224	-0.0442265965425519	0
Cd59b	1.86578546973261	1.0982538651003946	0.2321852036879198	-0.1667091500315508	0.0764193325245086	1.171760455131369	0.2590995377565581	-0.3743359924931483	-0.7009184676179874	-0.4499443062976025	-1.9620144697110604	-1.049581477782005	0
Orc1	-0.1870425376379499	1.1261637922531462	1.1646585743272275	0.538099591860669	1.365337840185967	1.1094420167975	-0.5531037872500643	-0.7624073200079605	-0.2234753011571672	-0.8736374881426715	-1.8995139767579696	-0.8045214044707268	0
Uros	1.2462930295723351	1.346514653220264	0.4187783971239287	-0.2422246523750217	1.0948661151735692	1.48171412032202	-0.5958140435272886	-1.0420426908230682	-1.0818687815155252	-0.6343480349492376	-1.0589466675565062	-0.9329214446654782	0
Tle2	-1.5878904016572977	-0.0365720670792026	0.99525224675781	0.4226742220748128	0.7172067370421138	2.128658890737873	0.3549114023896916	-0.3597367556201982	-1.5992665921586933	-0.3352075458806784	-0.1354219857071213	-0.5646081508991185	0
