gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3
Cd34	0.8208259120383278	1.0087864997094427	0.8481831308670231	-0.10408596800494263	-0.9219194363944477	-1.6517901382153999
Ugt1a7c	0.6881401203556542	1.0628447953839544	0.8887997455629247	0.04201976185489697	-1.2736118499000062	-1.4081925732574245
Mt1	0.870103603092489	0.8009482099325775	0.7210794979375078	-1.2940765831138394	-1.4987509413158075	0.4006962134670732
Hsd17b1	0.9593382515623238	1.1490157274654413	0.8801063277147232	-1.0661532075009208	-0.977445806695031	-0.9448612925465363
Gbp5	0.7566138042698712	1.230162907076217	0.9770835409678202	-1.030962156880015	-0.8468412832800964	-1.0860568121538012
Cxcr4	1.0286641812589645	1.0512748606191396	0.8811389663604997	-0.7618645683023236	-0.9241675653396595	-1.2750458745966216
Lmo4	0.7926518076881934	0.8364638397114341	0.6506259143347765	0.24941513299327114	-0.5616585175073605	-1.9674981772203155
Tst	0.9218052504082332	1.2497912208783704	0.7053503905424539	-0.9465521589373587	-0.5580088404146342	-1.3723858624770635
1190002N15Rik	0.972556055835195	0.6946122193132996	1.0941957102975204	-0.17540044220147727	-1.2957469105020467	-1.2902166327424913
Klf9	1.1186505743972852	0.9405616679156426	0.9340371896248922	-1.05559400836939	-0.9705868164667816	-0.9670686071016493
Chdh	0.8140939418539511	1.0198892696912032	1.1498022910696726	-0.925233707033205	-1.0204310495783193	-1.0381207460033028
Msrb1	0.9755451743727576	1.2106500097980437	0.7708244848605483	-1.2048471574859771	-0.9057245086213874	-0.8464480029239837
Grb10	1.2322819036289983	0.6408572913900964	1.0748878212690116	-0.9751483398900767	-1.0822516366392574	-0.8906270397587728
Parp8	0.8878910259365235	0.9581990520240569	0.8628685516975992	-0.09015285438022459	-1.0730106460304738	-1.5457951292474816
AA465934	0.8150712484221103	0.7836631221689716	0.5981983468043727	-2.087491918715861	-0.04845326615650114	-0.06098753252308964
Nmral1	0.8440838826316917	0.7384092397559369	0.6636903976151992	-0.02905344259909067	-0.14858788864911068	-2.0685421887546283
Ifngr1	0.899141717779096	1.0992330241006107	0.8858670420768248	-0.6476374136811605	-0.7455846381460802	-1.4910197321292888
Sgms2	1.0090514446010412	0.9392763731604137	1.0236810686143876	-0.7318790619685591	-1.0612670794026169	-1.178862745004667
S100a11	1.2098843722279122	0.8333856160266352	0.7163825111084829	-0.46231854916475434	-0.6608994903546758	-1.6364344598435976
Cds1	0.8694973764195012	1.1270345944894438	0.9907730559378342	-0.911552027518954	-1.096330459615646	-0.9794225397121789
Tspan8	1.401783859209066	0.2692619490113435	1.1464697442277556	-0.9732142368766751	-0.9112529911299261	-0.9330483244415628
Slc22a4	0.8289487405600755	1.086212071539484	1.0219868317615057	-0.6567847645310981	-0.9711598741198678	-1.3092030052101005
Gphn	0.9272228076173913	0.8945692919807333	1.1495684599301295	-0.7815492804301205	-1.0240536599029788	-1.1657576191951553
Scpep1	0.8336884223078723	1.0898844230056837	0.9045525372269572	-0.892996874906083	-0.406718607817401	-1.5284098998170281
