gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	cluster
Prps1	0.581727092139163	0.9343436394025744	0.9979091510964582	0.7507303605767954	0.2163590913008373	0.53658745644743	-1.418862401490584	-0.7972006211223723	-1.8015937683503116	0
Pmm1	1.4198401285891475	0.8590311012695657	0.6890820776244223	0.4403817063650907	0.1991517994777489	0.3248505733178753	-1.685814841656614	-1.3059586071176783	-0.9405639378695596	0
Mif	1.5000617917650292	0.6037140036864731	0.42602272790746	0.3230668305758098	0.7459145360587849	0.0717516004104848	-1.9652645794218124	-1.185580303866971	-0.5196866071152655	0
Birc5	1.4845500811245904	0.3067234225270904	0.3258077166485844	0.6376658226918244	0.5183658351399324	0.198691647188479	-1.74165488488034	-1.6869663252745144	-0.0431833151656414	0
Zbtb46	0.6893217052501097	1.4514731664060576	1.1266898127631606	0.1226984744071379	-0.8939233164593908	0.8088171507046965	-0.9436996846444629	-1.2096007097316148	-1.151776598695695	0
Wdr43	0.6802046285557755	1.1806704358176212	0.9232862304230042	0.6566886698258847	0.0617008266223449	0.4725637898711178	-1.2869407158786126	-1.7702102799897983	-0.9179635852473476	0
Nucks1	1.832124422415651	0.1642463656993405	0.2823951220451064	0.9174815699631969	0.1946381924779027	0.0073985933553117	-1.5266344699850762	-1.4718919397278851	-0.3997578562435479	0
Gdpd1	1.280057321056696	1.14817766078512	0.9683726419403113	0.0388248692473082	-1.2193182288698838	0.0325801346490286	0.3841621479809666	-1.3520836207978026	-1.2807729259917422	0
Cox6b1	2.1680438396109745	0.1601622990430748	0.0326766459268367	0.539586496481488	0.4544683805167354	-0.3717855764893695	-1.542245818372127	-0.3885503054697162	-1.0523559612478963	0
Hba-a1	1.1469528238222109	0.9682491927695625	0.1490456448084357	-0.2833081452298335	-0.7655769069542108	-0.2812064206300787	-0.5067764245516881	1.4642821803154598	-1.891661944349854	0
Cldn13	0.9617500912945084	0.9220641636393452	0.8122408224602108	0.5520265315016154	0.2380420515594866	0.6683542369451372	-1.4074413776304795	-1.3347333492853448	-1.4123031704844793	0
Jmjd7	1.5310130640477126	1.1259806355276314	0.7775273511962589	0.5280430392825864	-0.3655639686427643	-0.222862723191279	-0.5408295572363185	-1.3295611724865777	-1.503746668497246	0
Spire1	0.539179901452604	1.3267307696904906	1.0827070335875957	0.3290809878492065	-0.7214725744474795	0.8395212415352431	-1.5755599232460742	-1.3001404251708442	-0.5200470112507419	0
Asns	1.2439870322136082	1.198264832527815	1.1159641164802223	0.1215856207600996	-0.2131391684051387	0.1977617281424269	-1.315920719350329	-0.8721100928759297	-1.4763933494927777	0
Tuba1b	1.556230019512943	0.495095109767542	0.7074941234415347	0.3426602080036793	0.6319039695430404	0.2104391243958123	-1.108442620911604	-1.5252609336357426	-1.310119000117198	0
Sept8	0.389150735299932	1.6475750713942452	1.1976146939018968	-0.041556561250249	-1.4373731059321182	0.4795536822519642	-0.5165707796715973	-1.4331102413916506	-0.2852834946024244	0
Mboat2	1.0462320195361043	1.2373165299516289	0.924267714386442	0.4912458316612263	-0.2668554222922432	0.429972619904155	-1.1580804700031015	-1.2390467056694972	-1.4650521174747146	0
Gm8355	1.2465141895606342	1.2363485502010974	0.0041922320691248	0.7705940870786324	0.5595282846407691	-0.1676798926715369	-1.811086259103886	-0.8394808345719688	-0.9989303572028578	0
Hs6st1	-0.2082448025934415	1.572851682845826	0.9611514386824817	0.1374505576265937	-0.2829811351340008	0.8557991226442782	0.0274622130495701	-1.6628163604023591	-1.400672716718946	0
Rpl36a-ps2	1.7068431490609073	0.4264580565782035	-0.0048423338210151	0.6553586273318276	0.5863878508244047	-0.0958329368945993	-1.283290002793273	-0.1314725924350889	-1.859609817851376	0
Slc35f2	0.5123310943363254	1.448917933941302	0.7043728596598907	0.5587971648469886	0.5172906711002521	0.2902818731880635	-1.300204527172781	-1.1984973593860475	-1.533289710513993	0
Pdia2	0.8442807690206384	1.4595170347149269	1.0963803340044025	0.3674820822739276	-0.5642683560382459	0.4041660758378905	-1.2025193132711802	-1.2025193132711802	-1.2025193132711802	0
Gja1	1.120206689198689	1.5497198850225913	1.431075544564975	-0.3993595025306572	-0.5338297999042838	-0.286291345657379	-0.9308143671837044	-0.980764053774856	-0.9699430497353732	0
Pttg1	1.9496371445938228	-0.0648548674913542	0.1326684055345044	1.0268945824779807	0.4340525971981593	-0.3237014312108382	-0.9403391722172968	-0.6104471155760821	-1.603910143308891	0
Wrn	-0.4042003768928283	1.5213403522521618	0.9712541334035186	0.4847906838358287	-0.3189115458405531	1.1175380975868674	-0.9348311055438808	-1.4922121293550814	-0.9447681094460304	0
B9d1	1.3331108125465934	0.4926390350028182	0.5593343377796332	0.8122818114585193	0.4705666566525752	0.3947768060472969	-1.6467118502665683	-1.2070361566384955	-1.2089614525823702	0
Lhfpl2	0.6375901930137285	1.2902212539008526	1.1926500105883366	0.3410672012827446	-0.2774849898252455	0.5875763840357585	-0.8982067143157852	-1.3086526915456047	-1.5647606471347806	0
Tsen15	1.6651828858859656	0.8753059032721705	0.5513653135190149	0.3059507462762442	-0.1183236354169821	0.1745446744624913	-1.912447326816496	-0.4764742877070441	-1.0651042734753533	0
Guf1	0.7663524146967492	0.9151681929848772	1.098378762006663	0.855025181950118	-0.1293122270960667	0.378838704063582	-0.7515418107759727	-1.51619729232494	-1.616711925505007	0
Flt3	0.1231433529945893	0.8725622460531497	0.8565070807298133	-0.0374644508733342	0.2714712414501897	0.7224035149112656	-0.5674140525025995	-2.545285475684989	0.3040765429219121	0
Reep6	0.8120255842468261	1.5227534912891594	0.9073220811325968	0.3285643276349865	-0.5580825300172483	0.4893333653975072	-1.669751252351573	-1.10747410150888	-0.7246909658233713	0
Timm17a	1.7425276604676008	0.5639299938936586	0.6386533003082223	0.6847061822212196	0.2324270282240902	-0.1446888826119026	-1.323804584459964	-1.001372479096771	-1.3923782189461569	0
Ncapg	0.3539224113244121	0.6465263992836793	0.8947159342102124	0.8776556857156833	-0.0191333826038733	0.8367412424210939	-1.3629467254789775	-2.0747255912853304	-0.1527559735869023	0
Acsl5	0.6232185279845288	0.8565637624430519	0.6817096428984637	0.9709562470664844	0.079480453796698	0.8861120886483775	-1.464883781325313	-1.13456321313139	-1.4985937283808868	0
Gadd45gip1	1.852109533806498	0.6281130864477991	0.2330666772438891	0.5092180798223371	0.4660619120366117	-0.1103092753051024	-1.684848053008128	-0.9684069672477847	-0.9250049937961148	0
Serpinf1	1.2204492932559226	0.5888909835775377	0.9073598439481896	0.4140906990957285	0.6304723862688892	0.3360066428369678	-1.1654085128724845	-1.4308621941752178	-1.5009991419355302	0
Gm5864	1.034795844576143	0.994656784211756	0.6609155278656115	0.7419171214055641	-0.0440511359506048	0.582979428968966	-0.8537914596234706	-1.4522230107070522	-1.6651991007469125	0
