gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3
Lrrk2	-1.5239545916480806	-0.8942491853341165	0.0871294444446955	0.7982377786369402	1.0634245177211112	1.8602396205839906	0.40812783260879004	-0.7492338095724415	-1.4853592611223292	-0.4431121923515244	0.18929320618139783	0.6894566398515664
Rapgef2	-1.898301930175137	-0.6089914814370418	-0.3868681017253196	0.9272702088217402	1.7265567206575025	1.3144941468515097	0.14454202256362797	-0.3130008558701089	-1.3164951985721993	-0.22541567313195449	0.0003207264030650011	0.6358894156143173
Hdc	-0.636013407966007	-1.4038857415478387	-0.4386300032243023	0.7053643784518826	0.8571291194907363	1.149114176358791	-0.7801808824452354	-1.0185064485595716	-1.4463521791407001	1.0287721798007134	1.2331099534714398	0.7500788553101019
Lrg1	-0.13600149836140688	-1.602105607304816	-0.12126420533645955	0.5674191148912083	1.211028956942675	1.6261746663081686	-0.8708860431395938	-0.8495140591230961	-1.5084941009595116	0.21147516808531883	0.9398299781983148	0.5323376297991949
Ceacam1	-1.1801912504872258	-1.5231826942077125	-0.12415067101452104	0.06926519056777042	0.6647061739816488	2.1459844499689305	0.04522265124592152	-0.7278433317248413	-1.2076320205054665	0.36801647832158696	0.8185471360894122	0.6512578877644917
Pi16	-0.4354547523465259	-1.2860846888090045	-0.6173153856019268	0.809941939373645	1.3876360369197933	1.1774027154935889	-1.014078755275238	-1.0411960585569855	-1.2603057787731988	0.4255311208598028	1.2487237193366816	0.6051998873793647
Gm45837	-1.0752569026272263	-1.4511660116042466	-0.48252043600401184	0.9560966158143697	1.330818757523568	1.5062237100428595	-0.7263181466980662	-0.43078692133322943	-1.3368784613888742	0.7238753420212759	0.6358513342147293	0.3500611200388563
Itga6	-2.436841281954625	-0.2311383484465887	-0.18508963808918028	1.0486093849317788	0.9751776160059381	0.7136105308461324	0.7294316828442982	-0.368822402219123	-1.350490708303599	0.06581660761954222	0.08538878258068855	0.9543477741847325
Ccdc85c	-1.524368974917619	-0.984122088727947	-0.7995988862549549	0.8037528813588671	1.555480379583407	1.1087886143318941	-0.468789138751098	-0.5557795913158203	-1.2039463263056371	0.38421188849236226	0.503673078543896	1.1806981639626424
Lyst	-1.450614286825396	-0.7754108274156036	-0.47997111716909424	0.7649829401961726	1.1399633939691796	1.8027451279585873	0.40882382709154746	-0.6370711585755638	-1.4811432658586938	-0.5073048517528896	0.3183413319786017	0.8966588864031492
Ltb4r1	0.018286583197098676	-1.857917996261528	0.09935722313572004	0.47375899781747627	0.9398893914326288	1.377707464305733	-0.535524870882935	-1.1584950204637472	-1.408477290415364	0.24904166179273063	1.2425178256871772	0.5598560306549992
Cplx2	-0.27635803967230643	-1.2963176696288146	-1.2704864569214165	1.630826294721842	1.6597439320361718	1.4645534325334928	-0.3310096220727473	-0.62480650693122	-0.6394207429898227	0.12797779480412808	-0.37354967516369086	-0.07115274071561581
Trp53inp1	-1.0569260395184301	-0.6842977771453858	-0.6129758551046095	1.8134796636994475	1.161097612420345	-0.14672684786288473	-0.6165450296880363	-0.9135726940472501	-1.2633859327175034	0.4442595065198428	0.3840183465191382	1.491575046925324
Tshr	-0.6035821172349308	-0.8261236606445012	-0.07395469881909456	1.2806317369878475	1.0268745407176778	2.362127063815214	-0.35898145699246686	-0.9573139755259888	-1.0798634352972816	-0.2867272856149681	-0.6043684506558809	0.12128173926437634
Nedd9	-1.624512809619775	-1.0942058557142322	0.027976265338701286	1.0377589085794086	1.293375939271437	1.4548460366961324	0.7138150814280015	-0.5017972136571913	-1.4956486117883658	-0.04574697838114653	-0.249500006614095	0.48363924446111406
Celsr1	-1.7705998823692446	-0.2875192039575373	-0.2946121722812679	0.8322287589092228	1.358671301872298	1.8365559563617833	0.2355304988392953	-0.3358116385421891	-1.3328761407657645	-0.7093897255884377	-0.10262769110544237	0.5704499386272801
Fmr1nb	0.4791724752277317	-0.3922195078589897	0.38784418445160695	0.13729992220998985	0.22798450009269333	2.685246482070798	0.4097945628759673	-0.9121302848206457	-0.9118606052379367	-1.0840018869246508	-1.0840018869246508	0.05687204483808737
Papss2	-1.193030625990393	-1.5479133876566336	-0.44287778694588753	0.5406083161038977	1.0958266559103993	0.6911057092640024	0.12846007916675375	-0.5677582684947674	-1.6590439485179733	0.9106730160382875	1.068402053694875	0.9755481874274464
Tifab	-1.3738444362479596	-1.1205705346914194	-0.44632116826964363	0.855593816429347	1.164842681882629	0.7680534390313504	-0.49241066501259373	-0.7148832498973274	-1.312624841357337	0.12315917475406112	1.6198081890314495	0.9291975943474392
Bcl3	-0.8091908623039525	-1.221514885094523	-0.4959358064711117	0.08011860648693131	0.7623738430797748	1.4129522265767627	-1.014973350398188	-0.7279116692313584	-1.0413911034562897	0.5253634061400523	1.9365593125084792	0.5935502821634228
